URL	عدد الدومينات	الحالة
https://adguardteam.github.io/HostlistsRegistry/assets/filter_39.txt	444	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_6.txt	14	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_47.txt	522436	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_29.txt	200026	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_21.txt	100060	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_35.txt	94	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_22.txt	151	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_19.txt	258	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_43.txt	179	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_25.txt	376	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_15.txt	623	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_36.txt	34	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_20.txt	210	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_13.txt	348	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_41.txt	113484	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_14.txt	340	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_17.txt	1156	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_26.txt	1213	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_40.txt	2071	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_16.txt	19121	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_30.txt	39350	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_12.txt	11574	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_8.txt	312	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_18.txt	152315	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_10.txt	944	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_42.txt	46045	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_31.txt	925	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_9.txt	13460	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_50.txt	2744	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_11.txt	3594	OK
https://easylist.to/easylist/fanboy-social.txt	173	OK
https://raw.githubusercontent.com/gioxx/xfiles/master/filtri.txt	570	OK
https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/cookies_filters/adblock_cookies.txt	123	OK
https://raw.githubusercontent.com/cjx82630/cjxlist/master/cjx-annoyance.txt	691	OK
https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/adblock_social_filters/adblock_social_list.txt	734	OK
https://raw.githubusercontent.com/xinggsf/Adblock-Plus-Rule/master/rule.txt	311	OK
https://raw.githubusercontent.com/FiltersHeroes/KAD/master/KAD.txt	21149	OK
https://www.zoso.ro/pages/rolist2.txt	84	OK
https://raw.githubusercontent.com/tcptomato/ROad-Block/master/road-block-filters-light.txt	483	OK
https://raw.githubusercontent.com/PolishFiltersTeam/PolishAnnoyanceFilters/master/PPB.txt	411	OK
https://raw.githubusercontent.com/yous/YousList/master/youslist.txt	1779	OK
https://raw.githubusercontent.com/FiltersHeroes/PolishAntiAnnoyingSpecialSupplement/master/polish_rss_filters.txt	45	OK
https://raw.githubusercontent.com/realodix/AdBlockID/main/dist/adblockid.adfl.txt	995	OK
https://raw.githubusercontent.com/easylist-thailand/easylist-thailand/master/subscription/easylist-thailand.txt	753	OK
https://cdn.jsdelivr.net/gh/hufilter/hufilter@gh-pages/hufilter-adguard.txt	318	OK
https://raw.githubusercontent.com/abpvn/abpvn/master/filter/abpvn_adguard.txt	287	OK
https://raw.githubusercontent.com/MajkiIT/polish-ads-filter/master/polish-adblock-filters/adblock.txt	911	OK
https://raw.githubusercontent.com/finnish-easylist-addition/finnish-easylist-addition/gh-pages/Finland_adb.txt	126	OK
https://raw.githubusercontent.com/olegwukr/polish-privacy-filters/master/anti-adblock.txt	29	OK
https://raw.githubusercontent.com/lassekongo83/Frellwits-filter-lists/master/Frellwits-Swedish-Filter.txt	684	OK
https://raw.githubusercontent.com/DandelionSprout/adfilt/master/SerboCroatianList.txt	77	OK
https://raw.githubusercontent.com/RandomAdversary/Macedonian-adBlock-Filters/master/Filters	294	OK
https://raw.githubusercontent.com/DandelionSprout/adfilt/master/NorwegianExperimentalList%20alternate%20versions/NordicFiltersAdGuard.txt	539	OK
https://raw.githubusercontent.com/DandelionSprout/adfilt/master/LegitimateURLShortener.txt	907	OK
https://pgl.yoyo.org/adservers/serverlist.php?hostformat=adblockplus&mimetype=plaintext	3545	OK
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/filters.txt	634	OK
https://filters.adtidy.org/android/filters/1_optimized.txt	1991	OK
https://filters.adtidy.org/android/filters/4_optimized.txt	438	OK
https://filters.adtidy.org/android/filters/6_optimized.txt	782	OK
https://filters.adtidy.org/android/filters/7_optimized.txt	2048	OK
https://filters.adtidy.org/android/filters/8_optimized.txt	490	OK
https://filters.adtidy.org/android/filters/9_optimized.txt	856	OK
https://filters.adtidy.org/android/filters/11_optimized.txt	1877	OK
https://filters.adtidy.org/android/filters/13_optimized.txt	1243	OK
https://filters.adtidy.org/android/filters/14_optimized.txt	2346	OK
https://filters.adtidy.org/android/filters/15_optimized.txt	180197	OK
https://filters.adtidy.org/android/filters/16_optimized.txt	2292	OK
https://filters.adtidy.org/android/filters/17_optimized.txt	1948	OK
https://filters.adtidy.org/android/filters/18_optimized.txt	508	OK
https://filters.adtidy.org/android/filters/19_optimized.txt	875	OK
https://filters.adtidy.org/android/filters/20_optimized.txt	123	OK
https://filters.adtidy.org/android/filters/21_optimized.txt	323	OK
https://filters.adtidy.org/android/filters/22_optimized.txt	452	OK
https://filters.adtidy.org/android/filters/23_optimized.txt	2420	OK
https://filters.adtidy.org/android/filters/224_optimized.txt	10762	OK
https://adblock.gardar.net/is.abp.txt	53	OK
https://www.void.gr/kargig/void-gr-filters.txt	449	OK
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/gambling.txt	522436	OK
https://malware-filter.gitlab.io/malware-filter/urlhaus-filter-agh-online.txt	491	OK
https://raw.githubusercontent.com/RealEnder/adblockbg/refs/heads/master/adblockbg.txt	623	OK
https://raw.githubusercontent.com/easylist/listear/refs/heads/master/Liste_AR.txt	819	OK
https://raw.githubusercontent.com/tomasko126/easylistczechandslovak/refs/heads/master/filters_ublock.txt	12	OK
https://cdn.jsdelivr.net/gh/realodix/AdBlockID@master/dist/adblockid.adfl.txt	995	OK
https://cdn.jsdelivr.net/gh/realodix/AdBlockID@master/dist/adblockid_plus.adfl.txt	50	OK
https://abpvn.com/filter/abpvn-MKpIlo.txt	285	OK
https://adblock.ee/list.txt	223	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlocker-Deprecated.txt	997	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerAds-Domains.txt	34	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerAds.txt	74	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerAnnoyances-Domains.txt	3	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerAnnoyances.txt	3	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerCensor.txt	0	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerHalfPrice.txt	0	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerHosts.txt	258	OK
https://raw.githubusercontent.com/MasterKia/PersianBlocker/refs/heads/main/PersianBlockerTrackers.txt	44	OK
https://raw.githubusercontent.com/olegwukr/polish-privacy-filters/refs/heads/master/adblock-suplement.txt	0	OK
https://raw.githubusercontent.com/olegwukr/polish-privacy-filters/refs/heads/master/adblock.txt	115	OK
https://raw.githubusercontent.com/olegwukr/polish-privacy-filters/refs/heads/master/anti-adblock-suplement-adguard.txt	13	OK
https://raw.githubusercontent.com/olegwukr/polish-privacy-filters/refs/heads/master/anti-adblock-suplement.txt	13	OK
https://raw.githubusercontent.com/olegwukr/polish-privacy-filters/refs/heads/master/anti-adblock.txt	29	OK
https://raw.githubusercontent.com/DeepSpaceHarbor/Macedonian-adBlock-Filters/refs/heads/master/Filters	294	OK
